latitude,longitude
34.375580669930464,-116.16201305809805
34.2241560733929,-117.43351314436674
35.0850353247129,-117.0679451107913
35.50959934221519,-116.68889780503837
34.976402942359144,-117.08189496467288
34.12917924980995,-117.40644247702812
34.21435559081408,-116.37842300445489
35.2610620376285,-116.01379008318412
34.751536706826556,-116.50167474910042
34.843380138803795,-116.10067486596243
34.2930545414322,-116.16389928916612
35.24530715885326,-117.58411368788033
35.88377428084299,-116.3309265340225
34.33992379335398,-116.25656817171331
35.24430203815142,-117.78648746563222
34.31388468434452,-116.60373821943148
35.80810004833732,-117.2681661164643
34.136434810873844,-116.45599975461548
34.51880568019832,-116.6574455784537
34.237015912370836,-116.27470347703222
35.09894205023807,-116.31867845137891
34.68153843573408,-116.00035156134638
35.46583566826325,-116.77615888957962
34.66202516900694,-117.54879429643546
35.26553649485678,-117.14553545278947
34.071557214600126,-117.83759601958691
35.68305783638029,-116.73900181358522
34.724082869535074,-117.21553101520936
34.4367044865107,-117.30574368184078
35.51816015080559,-116.8988372931298
35.106846612585066,-116.81326466678183
35.02526660924358,-117.50921937117869
34.94843482035818,-117.75684268925944
35.31406941608941,-117.05864821605833
34.52216822677112,-117.3449476440756
34.72812127420095,-117.64381124449727
34.50013442396992,-117.36373907568378
35.1163497430278,-116.6540483888514
35.94609548391079,-116.96578538831392
34.347779228437055,-117.5834981586789
34.03145258947415,-116.66599729047583
34.93751614327138,-116.2247224452641
35.82065426069218,-117.85094093091274
35.5458254668341,-117.17258632135606
34.97968125765182,-116.28037588611754
35.03392309519766,-116.85158256873775
35.49449799462746,-116.08740729690291
35.72896784764414,-117.37257830576307
35.55755298026975,-117.5841245440547
34.770160132811405,-116.56978797697789
35.392788657059235,-117.04519384618945
34.86990386917823,-116.17879164292334
34.04397226683323,-116.67456944828831
35.95469670551089,-116.25361712116171
35.944291325634566,-116.03368951600511
35.44938106901066,-116.6774808873658
34.621977138326066,-117.54086238951744
35.42826710645714,-116.49102539548548
35.28579624432332,-116.0269834692259
34.10401970300726,-116.62451922654607
35.30019822847919,-116.74661237118032
35.53980667719275,-116.33047300689454
35.23061116005901,-116.11333661603764
34.87295549126968,-117.19373820410893
35.64127501640153,-116.10821881351349
35.13124625916004,-117.57695404293412
34.69428328472844,-117.98678209013117
34.69069330240143,-116.72686335373905
34.08996934566314,-117.71027979022554
34.80993888718846,-117.62062745821076
35.19560580604781,-116.44514898776634
35.374852659427596,-116.1523217944146
34.27583583234002,-116.53639558456746
35.73029026242126,-117.8467816448536
34.02455864422218,-117.65100221334367
34.392001546873345,-117.51795643217181
35.59764324756968,-116.41288890532985
34.02627279114794,-117.5030520134178
34.62808623067104,-116.01963383055175
35.34666059981135,-117.44862370520414
35.31378293440782,-116.50314443193682
35.3631300928027,-117.81350886555538
34.98219387203236,-117.13870964801981
34.231432208786174,-116.22413527326746
34.30736892772275,-117.01630639989172
34.23500290407007,-116.23134052839433
35.30549241380086,-116.93216261539231
34.62797101096129,-117.21086073301414
34.28028123793898,-116.53069406355509
35.44117089280432,-116.94152787394397
35.12897737657436,-117.39925688418185
35.10586493626065,-117.00613430920205
34.47933033881979,-116.76876990083495
35.03797491679292,-116.13175471029615
35.82485620866527,-116.63472586381857
34.73379768874377,-117.63161972702106
34.97097349058511,-117.13979086737028
34.19317194768376,-116.59165043704142
34.30075765855759,-116.99306998550887
35.18130390483236,-117.77053042329703
34.23761849636224,-117.15512560796479
35.89032594569941,-116.02736243932065
34.792095317797376,-116.65866376919466
35.544691206693216,-117.82619194069622
34.58039609760758,-117.5776602480513
35.14581488686415,-117.23902558897593
34.2613334321984,-117.36434027717529
34.06225479917424,-117.4280681623083
35.04290595399492,-117.87056317665606
34.92593659888832,-116.2440487614762
35.89356529058161,-117.93568080750356
34.70799640553257,-117.94623831757039
35.05470582199795,-117.82174099244907
35.59576179925558,-117.24698341142147
35.631262560104425,-116.67726174968512
35.582102416210574,-116.13629465181556
34.41365445217392,-116.37602620943412
35.69241217049923,-116.64691768468789
35.51372024173548,-117.91337137770489
34.95831376350453,-117.0257667984315
35.52580801946362,-116.25324777061303
35.479094581570585,-116.87593394844646
35.408575851821475,-116.1101338208797
35.077378910868305,-116.93767065937952
34.30772032633294,-116.10685048203848
35.89892509279166,-116.90918163927823
34.278976765887606,-116.94511853755134
34.64590099162681,-117.08555089424802
35.185903932234844,-116.58840272283102
35.55117218017657,-117.99973734747545
34.945827834131855,-116.93788634578353
35.469953782065765,-117.80823465575939
34.85550055642063,-116.86245671505463
34.9145945537791,-116.10616872990093
35.558743691581114,-117.31607287063447
34.93337238864445,-116.36716135350056
34.02756214499703,-116.8666485677407
34.325595820057835,-117.91388646097047
35.730952694098626,-116.28436063154794
35.076338050865225,-116.44092907079417
34.22443102408473,-117.98751907020896
35.0499748848844,-116.11874026925453
35.9331819375789,-117.4755201617485
34.021310513177056,-116.40629811164833
35.67769271661685,-116.87162388376383
